 440  41.7  59.8       n022
 441  35.3  90.0       n023
 442  35.3  90.0       n024
 443  78.6  58.3       n025
 444  78.6  58.3       n026
 445  77.0  79.1       n027
 446  77.0  79.1       n028
 447  58.2  76.0       n029
 448  58.2  76.0       n030
 449  77.0 100.9       n031
 450  77.0 100.9       n032
 451  58.2 104.0       n033
 452  58.2 104.0       n034
 453  78.6 121.7       n035
 454  78.6 121.7       n036
 455  80.6 142.6       n037
 456  80.6 142.5       n038
 457  58.4 136.8       n039
 458  58.4 136.8       n040
 459  41.7 120.2       n041
 460  41.7 120.2       n042
 461 104.4 165.1       n043
 462 104.4 165.1       n044
 463  82.9 165.0       n045
 464  82.9 165.0       n046
 465  61.9 163.1       n047
 466  61.9 163.1       n048
 467  42.4 156.9       n049
 468  42.4 156.9       n050
 469  25.0 140.5       n051
 470  25.0 140.5       n052
 471  15.9  90.0       n053
 472  15.8  90.0       n054
 473 105.2 186.9       n055
 474 105.2 186.9       n056
 475  84.4 186.9       n057
 476  84.4 186.9       n058
 477  62.9 186.7       n059
 478  62.9 186.7       n060
 479  41.8 187.8       n061
 480  41.8 187.8       n062
 481  21.2 193.3       n063
 482  21.2 193.3       n064
 483   4.6 270.0       n065
 484   4.6 270.0       n066
 485 105.7 208.6       n067
 486 105.7 208.6       n068
 487  85.7 208.6       n069
 488  85.7 208.6       n070
 489  63.2 210.8       n071
 490  63.2 210.8       n072
 491  42.3 219.2       n073
 492  42.3 219.2       n074
 493 105.5 229.5       n075
 494 105.5 229.5       n076
 495  86.2 229.5       n077
 496  86.2 229.5       n078
 497  65.3 235.7       n079
 498  65.3 235.7       n080
 499 105.7 249.9       n081
 500 105.7 249.9       n082
 501  86.7 249.9       n083
 502  86.7 249.9       n084
 503  67.2 259.2       n085
 504  67.2 259.2       n086
 505  46.8 255.9       n087
 506  46.8 255.9       n088
 507  27.3 247.5       n089
 508  27.3 247.5       n090
 509 105.4 270.0       n091
 510 105.4 270.0       n092
 511  86.6 270.0       n093
 512  86.6 270.0       n094
 513  67.2 280.8       n095
 514  67.2 280.8       n096
 515  46.8 284.1       n097
 516  46.8 284.1       n098
 517  27.3 292.5       n099
 518  27.3 292.5       n100
 519 105.7 290.1       n101
 520 105.7 290.1       n102
 521  86.7 290.1       n103
 522  86.7 290.1       n104
 523 105.5 310.5       n105
 524 105.5 310.5       n106
 525  86.2 310.5       n107
 526  86.2 310.5       n108
 527  65.3 304.3       n109
 528  65.3 304.3       n110
 529 105.7 331.4       n111
 530 105.7 331.4       n112
 531  85.7 331.4       n113
 532  85.7 331.4       n114
 533  63.2 329.2       n115
 534  63.2 329.2       n116
 535  42.3 320.8       n117
 536  42.3 320.8       n118
 537  41.8 352.2       n119
 538  41.8 352.2       n120
 539  21.2 346.7       n121
 540  21.2 346.7       n122
 541 128.8 211.3         E1
 542  58.2  84.4         E2
 543 107.7 154.9         E3
 544 112.5 175.2         E4
 545 108.9 194.4         E5
 546 114.3 211.3         E6
 547 114.9 222.1         E7
 548  83.2 175.8         E8
 549  86.6 206.1         E9
 550  66.7  86.8        E10
 551  74.2 149.4        E11
 552  74.6 216.7        E12
 553  64.5 191.8        E13
 554  20.7  92.9        E14
 555  47.5 150.6        E15
 556  56.6 224.5        E16
 557  41.4 274.5        E17
 558  22.6 276.5        E18
 559 128.2 337.8         Ea
 560  58.2  84.4         Eb
 561 102.8  28.4         Ec
 562 102.0   5.0         Ed
 563 109.8 352.9         Ee
 564 111.8 330.1         Ef
 565 113.3 314.5         Eg
 566  79.3  11.5         Eh
 567  84.9 350.1         Ei
 568  68.9  26.1         Ej
 569  70.7 331.8         Ek
 570  44.9 351.4         El
 571  37.6  67.5         Em
 572  40.7 309.2         En
 573  61.1  38.6        LCa
 574  55.8  23.6        LCb
 575  62.1   7.7        LCc
 576  54.5 352.0        LCd
 577  50.0 333.6        LCe
 578  49.4 314.1        LCf
 579  58.1  72.3        LCk
 580  53.8  54.9        LCl
 581  45.1  36.9        LCm
 582  45.7  11.1        LCn
 583  39.7 352.1        LCo
 584  35.6 330.7        LCp
 585  37.1 308.3        LCq
 586  46.4 291.8        LCr
 587  45.2  76.7        LCu
 588  38.4  59.8        LCv
 589  30.7  39.3        LCw
 590  31.6  13.5        LCx
 591  24.2 347.3        LCy
 592  23.4 310.7        LCz
 593  32.6 286.3        LCA
 594  20.2  61.5        LCE
 595  16.4  20.7        LCF
 596  11.1 320.5        LCG
 597 104.7  76.2        LFa
 598 105.1  61.3        LFb
 599 108.6  46.3        LFc
 600 115.9  31.2        LFd
 601 123.9  15.9        LFe
 602 118.1 358.4        LFf
 603  92.9  82.0        LFk
 604  92.6  67.0        LFl
 605  93.4  51.7        LFm
 606  96.2  38.2        LFn
 607 103.7  25.1        LFo
 608 110.9  11.1        LFp
 609  81.2  74.3        LFu
 610  81.3  58.1        LFv
 611  80.1  39.8        LFw
 612  86.7  24.5        LFx
 613  94.6   9.1        LFy
 614  69.5  81.2        LFE
 615  69.1  64.9        LFF
 616  69.5  50.2        LFG
 617  71.0  24.9        LFH
 618  77.8   8.9        LFI
 619 111.8 343.4        LPa
 620 105.4 327.6        LPb
 621 101.1 312.2        LPc
 622  97.4 297.9        LPd
 623  95.6 283.5        LPe
